symboling,fueltype,aspiration,doornumber,carbody,drivewheel,wheelbase,carlength,carwidth,carheight,curbweight,enginetype,cylindernumber,enginesize,fuelsystem,boreratio,stroke,compressionratio,horsepower,peakrpm,citympg,highwaympg,price,manufacturer,model,compressionratio_bin,price_per_hp,power_to_weight_ratio,engine_efficiency,avg_mpg,price_per_mpg
0,diesel,turbo,four,sedan,rwd,107.9,186.7,68.4,56.7,3197,l,four,152,idi,3.7,3.52,21.0,95,4150,28,33,13200.0,peugeot,304,High,138.94736842105263,0.029715358148264,0.625,30.5,432.78688524590166
0,petrol,std,four,wagon,rwd,114.2,198.9,68.4,58.7,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12440.0,peugeot,504 (sw),Low,128.24742268041237,0.030030959752321982,0.8083333333333333,21.5,578.6046511627907
0,diesel,turbo,four,wagon,rwd,114.2,198.9,68.4,58.7,3430,l,four,152,idi,3.7,3.52,21.0,95,4150,25,25,13860.0,peugeot,504,High,145.89473684210526,0.027696793002915453,0.625,25.0,554.4
0,petrol,std,four,sedan,rwd,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,15580.0,peugeot,504,Low,164.0,0.030894308943089432,0.7916666666666666,21.5,724.6511627906976
0,diesel,turbo,four,sedan,rwd,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21.0,95,4150,28,33,16900.0,peugeot,604sl,High,177.89473684210526,0.02921279212792128,0.625,30.5,554.0983606557377
0,petrol,std,four,wagon,rwd,114.2,198.9,68.4,56.7,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,16695.0,peugeot,504,Low,175.73684210526315,0.0289193302891933,0.7916666666666666,21.5,776.5116279069767
0,diesel,turbo,four,wagon,rwd,114.2,198.9,68.4,58.7,3485,l,four,152,idi,3.7,3.52,21.0,95,4150,25,25,17075.0,peugeot,505s turbo diesel,High,179.73684210526315,0.027259684361549498,0.625,25.0,683.0
0,petrol,std,four,sedan,rwd,107.9,186.7,68.4,56.7,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,16630.0,peugeot,504,Low,171.44329896907217,0.031544715447154474,0.8083333333333333,21.5,773.4883720930233
0,diesel,turbo,four,sedan,rwd,107.9,186.7,68.4,56.7,3252,l,four,152,idi,3.7,3.52,21.0,95,4150,28,33,17950.0,peugeot,504,High,188.94736842105263,0.02921279212792128,0.625,30.5,588.5245901639345
0,petrol,turbo,four,sedan,rwd,108.0,186.7,68.3,56.0,3130,l,four,134,mpfi,3.61,3.21,7.0,142,5600,18,24,18150.0,peugeot,604sl,,127.8169014084507,0.04536741214057508,1.0597014925373134,21.0,864.2857142857143
1,petrol,std,two,hatchback,fwd,93.7,157.3,63.8,50.8,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,37,41,5572.0,plymouth,fury iii,Standard,81.94117647058823,0.035453597497393116,0.7555555555555555,39.0,142.87179487179486
1,petrol,turbo,two,hatchback,fwd,93.7,157.3,63.8,50.8,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,7957.0,plymouth,cricket,Low,78.00980392156863,0.047932330827067667,1.0408163265306123,27.0,294.7037037037037
1,petrol,std,four,hatchback,fwd,93.7,157.3,63.8,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6229.0,plymouth,fury iii,Standard,91.6029411764706,0.03457041179461108,0.7555555555555555,34.5,180.55072463768116
1,petrol,std,four,sedan,fwd,93.7,167.3,63.8,50.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,6692.0,plymouth,satellite custom (sw),Standard,98.41176470588235,0.03418803418803419,0.7555555555555555,34.5,193.97101449275362
1,petrol,std,four,sedan,fwd,93.7,167.3,63.8,50.8,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7609.0,plymouth,fury gran sedan,Standard,111.8970588235294,0.031036056595162027,0.6938775510204082,34.5,220.55072463768116
-1,petrol,std,four,wagon,fwd,103.3,174.6,64.6,59.8,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,24,30,8921.0,plymouth,valiant,Low,101.375,0.03471400394477318,0.7213114754098361,27.0,330.4074074074074
3,petrol,turbo,two,hatchback,rwd,95.9,173.2,66.3,50.2,2818,ohc,four,156,spdi,3.59,3.86,7.0,145,5000,19,24,12764.0,plymouth,duster,,88.02758620689656,0.05145493257629524,0.9294871794871795,21.5,593.6744186046511
3,petrol,std,two,hatchback,rwd,94.5,168.9,68.3,50.2,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500,19,27,22018.0,porsche,macan,Standard,153.97202797202797,0.05147588192944565,0.9470198675496688,23.0,957.304347826087
3,petrol,std,two,convertible,rwd,89.5,168.9,65.0,51.6,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,32528.0,porsche,panamera,Standard,157.1400966183575,0.07510885341074021,1.0670103092783505,21.0,1548.952380952381
3,petrol,std,two,convertible,rwd,89.5,168.9,65.0,51.6,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,34028.0,porsche,cayenne,Standard,164.38647342995168,0.07510885341074021,1.0670103092783505,21.0,1620.3809523809523
3,petrol,std,two,convertible,rwd,89.5,168.9,65.0,51.6,2800,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,37028.0,porsche,boxter,Standard,178.87922705314008,0.07392857142857143,1.0670103092783505,21.0,1763.2380952380952
1,petrol,std,two,hatchback,rwd,98.4,175.7,72.3,50.5,3366,dohcv,eight,203,mpfi,3.94,3.11,10.0,288,5750,17,28,31400.5,porsche,cayenne,Standard,109.02951388888889,0.0855614973262032,1.4187192118226601,22.5,1395.5777777777778
0,petrol,std,four,wagon,fwd,96.1,181.5,66.5,55.2,2579,ohc,four,132,mpfi,3.46,3.9,8.7,90,5100,23,31,9295.0,renault,12tl,Low,103.27777777777777,0.03489724699495929,0.6818181818181818,27.0,344.25925925925924
2,petrol,std,two,hatchback,fwd,96.1,176.8,66.6,50.5,2460,ohc,four,132,mpfi,3.46,3.9,8.7,90,5100,23,31,9895.0,renault,5 gtl,Low,109.94444444444444,0.036585365853658534,0.6818181818181818,27.0,366.48148148148147
3,petrol,std,two,hatchback,fwd,99.1,186.6,66.5,56.1,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250,21,28,11850.0,saab,99e,Standard,107.72727272727273,0.04138449962377728,0.9090909090909091,24.5,483.6734693877551
2,petrol,std,four,sedan,fwd,99.1,186.6,66.5,56.1,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,12170.0,saab,99le,Standard,110.63636363636364,0.04081632653061224,0.9090909090909091,24.5,496.734693877551
3,petrol,std,two,hatchback,fwd,99.1,186.6,66.5,56.1,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250,21,28,15040.0,saab,99le,Standard,136.72727272727272,0.04063538973032878,0.9090909090909091,24.5,613.8775510204082
2,petrol,std,four,sedan,fwd,99.1,186.6,66.5,56.1,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,15510.0,saab,99gle,Standard,141.0,0.03988397389412618,0.9090909090909091,24.5,633.0612244897959
3,petrol,turbo,two,hatchback,fwd,99.1,186.6,66.5,56.1,2808,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18150.0,saab,99gle,Low,113.4375,0.05698005698005698,1.322314049586777,22.5,806.6666666666666
2,petrol,turbo,four,sedan,fwd,99.1,186.6,66.5,56.1,2847,dohc,four,121,mpfi,3.54,3.07,9.0,160,5500,19,26,18620.0,saab,99e,Low,116.375,0.056199508254302775,1.322314049586777,22.5,827.5555555555555
2,petrol,std,two,hatchback,fwd,93.7,156.9,63.4,53.7,2050,ohcf,four,97,2bbl,3.62,2.36,9.0,69,4900,31,36,5118.0,subaru,,Low,74.17391304347827,0.033658536585365856,0.711340206185567,33.5,152.77611940298507
2,petrol,std,two,hatchback,fwd,93.7,157.9,63.6,53.7,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7053.0,subaru,dl,Low,96.61643835616438,0.03443396226415094,0.6759259259259259,28.5,247.47368421052633
2,petrol,std,two,hatchback,4wd,93.3,157.3,63.8,55.7,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,7603.0,subaru,dl,Low,104.15068493150685,0.032589285714285716,0.6759259259259259,28.5,266.7719298245614
0,petrol,std,four,sedan,fwd,97.2,172.0,65.4,52.5,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800,32,37,7126.0,subaru,,Standard,86.90243902439025,0.03822843822843823,0.7592592592592593,34.5,206.55072463768116
0,petrol,std,four,sedan,fwd,97.2,172.0,65.4,52.5,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400,28,33,7775.0,subaru,brz,Standard,94.8170731707317,0.03744292237442922,0.7592592592592593,30.5,254.91803278688525
0,petrol,std,four,sedan,fwd,97.2,172.0,65.4,52.5,2340,ohcf,four,108,mpfi,3.62,2.64,9.0,94,5200,26,32,9960.0,subaru,baja,Low,105.95744680851064,0.040170940170940174,0.8703703703703703,29.0,343.44827586206895
0,petrol,std,four,sedan,4wd,97.0,172.0,65.4,54.3,2385,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800,24,25,9233.0,subaru,r1,Low,112.59756097560975,0.034381551362683435,0.7592592592592593,24.5,376.85714285714283
0,petrol,turbo,four,sedan,4wd,97.0,172.0,65.4,54.3,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,24,29,11259.0,subaru,r2,Low,101.43243243243244,0.044223107569721115,1.0277777777777777,26.5,424.8679245283019
0,petrol,std,four,wagon,fwd,97.0,173.5,65.4,53.0,2290,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800,28,32,7463.0,subaru,trezia,Low,91.01219512195122,0.03580786026200873,0.7592592592592593,30.0,248.76666666666668
0,petrol,std,four,wagon,fwd,97.0,173.5,65.4,53.0,2455,ohcf,four,108,mpfi,3.62,2.64,9.0,94,5200,25,31,10198.0,subaru,tribeca,Low,108.48936170212765,0.038289205702647655,0.8703703703703703,28.0,364.2142857142857
0,petrol,std,four,wagon,4wd,96.9,173.6,65.4,54.9,2420,ohcf,four,108,2bbl,3.62,2.64,9.0,82,4800,23,29,8013.0,subaru,dl,Low,97.71951219512195,0.033884297520661154,0.7592592592592593,26.0,308.1923076923077
0,petrol,turbo,four,wagon,4wd,96.9,173.6,65.4,54.9,2650,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,23,23,11694.0,subaru,dl,Low,105.35135135135135,0.04188679245283019,1.0277777777777777,23.0,508.4347826086956
1,petrol,std,two,hatchback,fwd,95.7,158.7,63.6,54.5,1985,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,35,39,5348.0,toyota,corona mark ii,Low,86.25806451612904,0.031234256926952142,0.6739130434782609,37.0,144.54054054054055
1,petrol,std,two,hatchback,fwd,95.7,158.7,63.6,54.5,2040,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,31,38,6338.0,toyota,corona,Low,102.2258064516129,0.030392156862745098,0.6739130434782609,34.5,183.71014492753622
1,petrol,std,four,hatchback,fwd,95.7,158.7,63.6,54.5,2015,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,31,38,6488.0,toyota,corolla 1200,Low,104.64516129032258,0.03076923076923077,0.6739130434782609,34.5,188.05797101449275
0,petrol,std,four,wagon,fwd,95.7,169.7,63.6,59.1,2280,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,31,37,6918.0,toyota,corona hardtop,Low,111.58064516129032,0.027192982456140352,0.6739130434782609,34.0,203.47058823529412
0,petrol,std,four,wagon,4wd,95.7,169.7,63.6,59.1,2290,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,27,32,7898.0,toyota,corolla 1600 (sw),Low,127.38709677419355,0.027074235807860263,0.6739130434782609,29.5,267.728813559322
0,petrol,std,four,wagon,4wd,95.7,169.7,63.6,59.1,3110,ohc,four,92,2bbl,3.05,3.03,9.0,62,4800,27,32,8778.0,toyota,carina,Low,141.58064516129033,0.019935691318327974,0.6739130434782609,29.5,297.5593220338983
0,petrol,std,four,sedan,fwd,95.7,166.3,64.4,53.0,2081,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,30,37,6938.0,toyota,mark ii,Low,99.11428571428571,0.03363767419509851,0.7142857142857143,33.5,207.1044776119403
0,petrol,std,four,hatchback,fwd,95.7,166.3,64.4,52.8,2109,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,30,37,7198.0,toyota,corolla 1200,Low,102.82857142857142,0.03319108582266477,0.7142857142857143,33.5,214.86567164179104
0,diesel,std,four,sedan,fwd,95.7,166.3,64.4,53.0,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,34,36,7898.0,toyota,corona,High,141.03571428571428,0.024615384615384615,0.509090909090909,35.0,225.65714285714284
0,diesel,std,four,hatchback,fwd,95.7,166.3,64.4,52.8,2275,ohc,four,110,idi,3.27,3.35,22.5,56,4500,38,47,7788.0,toyota,corolla,High,139.07142857142858,0.024615384615384615,0.509090909090909,42.5,183.24705882352941
0,petrol,std,four,sedan,fwd,95.7,166.3,64.4,53.0,2094,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,38,47,7738.0,toyota,corona,Low,110.54285714285714,0.033428844317096466,0.7142857142857143,42.5,182.0705882352941
0,petrol,std,four,hatchback,fwd,95.7,166.3,64.4,52.8,2122,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,28,34,8358.0,toyota,corolla,Low,119.4,0.03298774740810556,0.7142857142857143,31.0,269.61290322580646
0,petrol,std,four,sedan,fwd,95.7,166.3,64.4,52.8,2140,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,28,34,9258.0,toyota,mark ii,Low,132.25714285714287,0.03271028037383177,0.7142857142857143,31.0,298.64516129032256
1,petrol,std,two,sedan,rwd,94.5,168.7,64.0,52.6,2169,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,29,34,8058.0,toyota,corolla liftback,Low,115.11428571428571,0.03227293683725219,0.7142857142857143,31.5,255.8095238095238
1,petrol,std,two,hatchback,rwd,94.5,168.7,64.0,52.6,2204,ohc,four,98,2bbl,3.19,3.03,9.0,70,4800,29,34,8238.0,toyota,corona,Low,117.68571428571428,0.03176043557168784,0.7142857142857143,31.5,261.5238095238095
1,petrol,std,two,sedan,rwd,94.5,168.7,64.0,52.6,2265,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9298.0,toyota,celica gt liftback,Standard,83.01785714285714,0.04944812362030905,1.1428571428571428,27.5,338.1090909090909
1,petrol,std,two,hatchback,rwd,94.5,168.7,64.0,52.6,2300,dohc,four,98,mpfi,3.24,3.08,9.4,112,6600,26,29,9538.0,toyota,corolla tercel,Standard,85.16071428571429,0.04869565217391304,1.1428571428571428,27.5,346.8363636363636
2,petrol,std,two,convertible,rwd,98.4,176.2,65.6,52.0,2540,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,8449.0,toyota,corona liftback,Standard,72.83620689655173,0.04566929133858268,0.7945205479452054,27.0,312.9259259259259
2,petrol,std,two,convertible,rwd,98.4,176.2,65.6,52.0,2536,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9639.0,toyota,corolla,Standard,83.09482758620689,0.04574132492113565,0.7945205479452054,27.0,357.0
2,petrol,std,two,hatchback,rwd,98.4,176.2,65.6,52.0,2551,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,9989.0,toyota,starlet,Standard,86.11206896551724,0.04547236377891023,0.7945205479452054,27.0,369.962962962963
2,petrol,std,two,convertible,rwd,98.4,176.2,65.6,52.0,2679,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,11199.0,toyota,tercel,Standard,96.54310344827586,0.04329973870847331,0.7945205479452054,27.0,414.77777777777777
2,petrol,std,two,hatchback,rwd,98.4,176.2,65.6,52.0,2714,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,11549.0,toyota,corolla,Standard,99.5603448275862,0.04274134119380987,0.7945205479452054,27.0,427.74074074074076
2,petrol,std,two,convertible,rwd,98.4,176.2,65.6,53.0,2975,ohc,four,146,mpfi,3.62,3.5,9.3,116,4800,24,30,17669.0,toyota,cressida,Standard,152.31896551724137,0.038991596638655465,0.7945205479452054,27.0,654.4074074074074
-1,petrol,std,four,sedan,fwd,102.4,175.6,66.5,54.9,2326,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,29,34,8948.0,toyota,corolla,Low,97.26086956521739,0.03955288048151333,0.7540983606557377,31.5,284.06349206349205
-1,diesel,turbo,four,sedan,fwd,102.4,175.6,66.5,54.9,2480,ohc,four,110,idi,3.27,3.35,22.5,73,4500,30,33,10698.0,toyota,celica gt,High,146.54794520547946,0.02943548387096774,0.6636363636363637,31.5,339.6190476190476
-1,petrol,std,four,hatchback,fwd,102.4,175.6,66.5,53.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,9988.0,toyota,corona,Low,108.56521739130434,0.03811101905550953,0.7540983606557377,29.5,338.5762711864407
-1,petrol,std,four,sedan,fwd,102.4,175.6,66.5,54.9,2414,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,10898.0,toyota,corolla,Low,118.45652173913044,0.03811101905550953,0.7540983606557377,29.5,369.4237288135593
-1,petrol,std,four,hatchback,fwd,102.4,175.6,66.5,53.9,2458,ohc,four,122,mpfi,3.31,3.54,8.7,92,4200,27,32,11248.0,toyota,mark ii,Low,122.26086956521739,0.03742880390561432,0.7540983606557377,29.5,381.2881355932203
3,petrol,std,two,hatchback,rwd,102.9,183.5,67.7,52.0,2976,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,20,24,16558.0,toyota,corolla liftback,Standard,102.84472049689441,0.0540994623655914,0.9415204678362573,22.0,752.6363636363636
3,petrol,std,two,hatchback,rwd,102.9,183.5,67.7,52.0,3016,dohc,six,171,mpfi,3.27,3.35,9.3,161,5200,19,24,15998.0,toyota,corona,Standard,99.36645962732919,0.05338196286472149,0.9415204678362573,21.5,744.0930232558139
-1,petrol,std,four,sedan,rwd,104.5,187.8,66.5,54.1,3131,dohc,six,171,mpfi,3.27,3.35,9.2,156,5200,20,24,15690.0,toyota,starlet,Standard,100.57692307692308,0.049824337272436924,0.9122807017543859,22.0,713.1818181818181
-1,petrol,std,four,wagon,rwd,104.5,187.8,66.5,54.1,3151,dohc,six,161,mpfi,3.27,3.35,9.2,156,5200,19,24,15750.0,toyota,tercel,Standard,100.96153846153847,0.04950809266899397,0.968944099378882,21.5,732.5581395348837
2,diesel,std,two,sedan,fwd,97.3,171.7,65.5,55.7,2261,ohc,four,97,idi,3.01,3.4,23.0,52,4800,37,46,7775.0,volkswagen,rabbit,High,149.51923076923077,0.022998673153471916,0.5360824742268041,41.5,187.34939759036143
2,petrol,std,two,sedan,fwd,97.3,171.7,65.5,55.7,2209,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250,27,34,7975.0,volkswagen,1131 deluxe sedan,Low,93.82352941176471,0.03847894975101856,0.7798165137614679,30.5,261.4754098360656
2,diesel,std,four,sedan,fwd,97.3,171.7,65.5,55.7,2264,ohc,four,97,idi,3.01,3.4,23.0,52,4800,37,46,7995.0,volkswagen,model 111,High,153.75,0.022968197879858657,0.5360824742268041,41.5,192.65060240963857
2,petrol,std,four,sedan,fwd,97.3,171.7,65.5,55.7,2212,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250,27,34,8195.0,volkswagen,type 3,Low,96.41176470588235,0.03842676311030741,0.7798165137614679,30.5,268.6885245901639
2,petrol,std,four,sedan,fwd,97.3,171.7,65.5,55.7,2275,ohc,four,109,mpfi,3.19,3.4,9.0,85,5250,27,34,8495.0,volkswagen,411 (sw),Low,99.94117647058823,0.03736263736263736,0.7798165137614679,30.5,278.5245901639344
2,diesel,turbo,four,sedan,fwd,97.3,171.7,65.5,55.7,2319,ohc,four,97,idi,3.01,3.4,23.0,68,4500,37,42,9495.0,volkswagen,super beetle,High,139.63235294117646,0.029322984044846918,0.7010309278350515,39.5,240.37974683544303
2,petrol,std,four,sedan,fwd,97.3,171.7,65.5,55.7,2300,ohc,four,109,mpfi,3.19,3.4,10.0,100,5500,26,32,9995.0,volkswagen,dasher,Standard,99.95,0.043478260869565216,0.9174311926605505,29.0,344.6551724137931
3,petrol,std,two,convertible,fwd,94.5,159.3,64.2,55.6,2254,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,24,29,11595.0,volkswagen,dasher,Low,128.83333333333334,0.03992901508429459,0.8256880733944955,26.5,437.54716981132077
3,petrol,std,two,hatchback,fwd,94.5,165.7,64.0,51.4,2221,ohc,four,109,mpfi,3.19,3.4,8.5,90,5500,24,29,9980.0,volkswagen,rabbit,Low,110.88888888888889,0.040522287257991896,0.8256880733944955,26.5,376.60377358490564
0,petrol,std,four,sedan,fwd,100.4,180.2,66.9,55.1,2661,ohc,five,136,mpfi,3.19,3.4,8.5,110,5500,19,24,13295.0,volkswagen,rabbit,Low,120.86363636363636,0.04133784291619692,0.8088235294117647,21.5,618.3720930232558
0,diesel,turbo,four,sedan,fwd,100.4,180.2,66.9,55.1,2579,ohc,four,97,idi,3.01,3.4,23.0,68,4500,33,38,13845.0,volkswagen,rabbit custom,High,203.60294117647058,0.026366808840635907,0.7010309278350515,35.5,390.0
0,petrol,std,four,wagon,fwd,100.4,183.1,66.9,55.1,2563,ohc,four,109,mpfi,3.19,3.4,9.0,88,5500,25,31,12290.0,volkswagen,dasher,Low,139.6590909090909,0.034334763948497854,0.8073394495412844,28.0,438.92857142857144
-2,petrol,std,four,sedan,rwd,104.3,188.8,67.2,56.2,2912,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,12940.0,volvo,145e (sw),Standard,113.50877192982456,0.03914835164835165,0.8085106382978723,25.5,507.45098039215685
-1,petrol,std,four,wagon,rwd,104.3,188.8,67.2,57.5,3034,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,13415.0,volvo,144ea,Standard,117.67543859649123,0.037574159525379035,0.8085106382978723,25.5,526.0784313725491
-2,petrol,std,four,sedan,rwd,104.3,188.8,67.2,56.2,2935,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,15985.0,volvo,244dl,Standard,140.21929824561403,0.03884156729131175,0.8085106382978723,26.0,614.8076923076923
-1,petrol,std,four,wagon,rwd,104.3,188.8,67.2,57.5,3042,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,24,28,16515.0,volvo,245,Standard,144.8684210526316,0.03747534516765286,0.8085106382978723,26.0,635.1923076923077
-2,petrol,turbo,four,sedan,rwd,104.3,188.8,67.2,56.2,3045,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18420.0,volvo,264gl,Low,113.70370370370371,0.053201970443349754,1.2461538461538462,19.5,944.6153846153846
-1,petrol,turbo,four,wagon,rwd,104.3,188.8,67.2,57.5,3157,ohc,four,130,mpfi,3.62,3.15,7.5,162,5100,17,22,18950.0,volvo,diesel,Low,116.9753086419753,0.05131453911941717,1.2461538461538462,19.5,971.7948717948718
-1,petrol,std,four,sedan,rwd,109.1,188.8,68.9,55.5,2952,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,23,28,16845.0,volvo,145e (sw),Standard,147.76315789473685,0.03861788617886179,0.8085106382978723,25.5,660.5882352941177
-1,petrol,turbo,four,sedan,rwd,109.1,188.8,68.8,55.5,3049,ohc,four,141,mpfi,3.78,3.15,8.7,160,5300,19,25,19045.0,volvo,144ea,Low,119.03125,0.05247622171203673,1.1347517730496455,22.0,865.6818181818181
-1,petrol,std,four,sedan,rwd,109.1,188.8,68.9,55.5,3012,ohcv,six,173,mpfi,3.58,2.87,8.8,134,5500,18,23,21485.0,volvo,244dl,Low,160.33582089552237,0.04448871181938911,0.7745664739884393,20.5,1048.0487804878048
-1,diesel,turbo,four,sedan,rwd,109.1,188.8,68.9,55.5,3217,ohc,six,145,idi,3.01,3.4,23.0,106,4800,26,27,22470.0,volvo,246,High,211.9811320754717,0.032949953372707494,0.7310344827586207,26.5,847.9245283018868
-1,petrol,turbo,four,sedan,rwd,109.1,188.8,68.9,55.5,3062,ohc,four,141,mpfi,3.78,3.15,9.5,114,5400,19,25,22625.0,volvo,264gl,Standard,198.46491228070175,0.037230568256041804,0.8085106382978723,22.0,1028.409090909091
